Ticket Created Date,Ticket Last Updated Date,Ticket,Ticket Company Name,Event,Price,Tags,Order Created Date,Order Completed Date,Event Month,Ticket Gender Guess,Ticket Email Digest
2015-06-30 21:11:04 UTC,2015-08-06 02:23:59 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,,2015-06-30 21:10:27 UTC,2015-06-30 21:11:04 UTC,Aug,M,0
2015-06-30 21:16:26 UTC,2015-06-30 21:16:26 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,,2015-06-30 21:15:31 UTC,2015-06-30 21:16:26 UTC,Aug,F,1
2015-06-30 21:31:46 UTC,2015-08-06 01:57:51 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,,2015-06-30 21:30:49 UTC,2015-06-30 21:31:47 UTC,Aug,M,2
2015-06-30 21:31:47 UTC,2015-08-06 01:58:01 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,,2015-06-30 21:30:49 UTC,2015-06-30 21:31:47 UTC,Aug,,2
2015-07-01 15:33:23 UTC,2015-08-06 01:33:18 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,,2015-07-01 15:31:53 UTC,2015-07-01 15:33:23 UTC,Aug,M,3
2015-07-01 20:59:41 UTC,2015-08-06 02:24:47 UTC,Attendee (Early Bird),,WaffleJS (August),0.00,speaker,2015-07-01 20:59:41 UTC,2015-07-01 20:59:41 UTC,Aug,F,4
2015-07-01 21:12:51 UTC,2015-08-06 03:33:40 UTC,Attendee (Early Bird),,WaffleJS (August),0.00,speaker,2015-07-01 21:12:51 UTC,2015-07-01 21:12:51 UTC,Aug,M,5
2015-07-01 22:48:48 UTC,2015-08-06 02:06:15 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,,2015-07-01 22:47:58 UTC,2015-07-01 22:48:48 UTC,Aug,M,6
2015-07-02 03:04:15 UTC,2015-08-06 01:59:31 UTC,Attendee (Early Bird),Twitter,WaffleJS (August),0.00,singer,2015-07-02 03:04:15 UTC,2015-07-02 03:04:15 UTC,Aug,M,7
2015-07-02 05:27:08 UTC,2015-08-06 02:12:05 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,,2015-07-02 05:26:38 UTC,2015-07-02 05:27:08 UTC,Aug,M,8
2015-07-02 06:47:45 UTC,2015-08-06 01:55:00 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,singer,2015-07-02 06:47:23 UTC,2015-07-02 06:47:45 UTC,Aug,M,9
2015-07-02 06:47:45 UTC,2015-08-06 02:32:00 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,,2015-07-02 06:47:23 UTC,2015-07-02 06:47:45 UTC,Aug,,10
2015-07-03 05:45:27 UTC,2015-08-06 01:49:34 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,singer,2015-07-03 05:41:23 UTC,2015-07-03 05:45:27 UTC,Aug,F,12
2015-07-03 05:45:27 UTC,2015-08-06 01:53:24 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,singer,2015-07-03 05:41:23 UTC,2015-07-03 05:45:27 UTC,Aug,M,11
2015-07-03 18:34:17 UTC,2015-08-06 02:07:19 UTC,Attendee (Early Bird),Tinsel,WaffleJS (August),0.00,singer,2015-07-03 18:34:16 UTC,2015-07-03 18:34:17 UTC,Aug,,13
2015-07-07 06:30:48 UTC,2015-08-06 02:03:55 UTC,Attendee (Early Bird),Boomtrain,WaffleJS (August),8.00,,2015-07-07 06:29:04 UTC,2015-07-07 06:30:48 UTC,Aug,M,15
2015-07-07 06:30:48 UTC,2015-08-06 02:04:23 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,,2015-07-07 06:29:04 UTC,2015-07-07 06:30:48 UTC,Aug,M,14
2015-07-08 18:12:20 UTC,2015-08-06 02:12:47 UTC,Attendee (Early Bird),"Square, Inc.",WaffleJS (August),8.00,,2015-07-08 18:11:55 UTC,2015-07-08 18:12:20 UTC,Aug,M,16
2015-07-08 20:37:29 UTC,2015-07-08 20:37:30 UTC,Attendee (Early Bird),,WaffleJS (August),0.00,speaker,2015-07-08 20:37:29 UTC,2015-07-08 20:37:29 UTC,Aug,M,17
2015-07-09 16:16:29 UTC,2015-08-06 02:19:27 UTC,Attendee (Early Bird),Karmic Labs,WaffleJS (August),8.00,,2015-07-09 16:15:41 UTC,2015-07-09 16:16:29 UTC,Aug,F,18
2015-07-09 18:46:45 UTC,2015-07-09 18:46:45 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,,2015-07-09 18:45:54 UTC,2015-07-09 18:46:45 UTC,Aug,F,19
2015-07-10 04:08:26 UTC,2015-08-06 02:13:11 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,,2015-07-10 04:07:12 UTC,2015-07-10 04:08:26 UTC,Aug,,20
2015-07-10 18:40:26 UTC,2015-07-10 18:40:26 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,,2015-07-10 18:40:11 UTC,2015-07-10 18:40:26 UTC,Aug,F,21
2015-07-11 14:59:23 UTC,2015-08-06 01:39:18 UTC,Attendee (Early Bird),,WaffleJS (August),8.00,,2015-07-11 14:58:52 UTC,2015-07-11 14:59:23 UTC,Aug,M,22
2015-07-11 21:15:19 UTC,2015-07-11 21:15:19 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-11 21:14:45 UTC,2015-07-11 21:15:19 UTC,Aug,,23
2015-07-13 23:08:15 UTC,2015-08-06 02:24:11 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-13 23:07:54 UTC,2015-07-13 23:08:15 UTC,Aug,M,24
2015-07-13 23:08:15 UTC,2015-08-06 02:24:17 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-13 23:07:54 UTC,2015-07-13 23:08:15 UTC,Aug,F,25
2015-07-13 23:09:05 UTC,2015-08-06 02:16:11 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-13 23:08:00 UTC,2015-07-13 23:09:05 UTC,Aug,M,26
2015-07-14 00:01:22 UTC,2015-07-14 00:01:37 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-14 00:00:33 UTC,2015-07-14 00:01:22 UTC,Aug,F,27
2015-07-14 00:01:22 UTC,2015-08-06 02:17:52 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-14 00:00:33 UTC,2015-07-14 00:01:22 UTC,Aug,,28
2015-07-14 06:23:25 UTC,2015-08-06 02:20:38 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-14 06:22:42 UTC,2015-07-14 06:23:25 UTC,Aug,M,29
2015-07-14 17:45:58 UTC,2015-08-06 02:06:04 UTC,Attendee (Early Bird),Khan Academy,WaffleJS (August),0.00,speaker,2015-07-14 17:45:58 UTC,2015-07-14 17:45:58 UTC,Aug,,30
2015-07-14 17:52:47 UTC,2015-07-14 17:52:47 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-14 17:52:21 UTC,2015-07-14 17:52:47 UTC,Aug,M,31
2015-07-14 17:55:11 UTC,2015-08-06 01:54:10 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-14 17:54:57 UTC,2015-07-14 17:55:11 UTC,Aug,F,32
2015-07-14 17:58:50 UTC,2015-07-14 17:58:50 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-14 17:57:37 UTC,2015-07-14 17:58:50 UTC,Aug,M,33
2015-07-14 20:38:27 UTC,2015-07-14 20:38:27 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-14 00:41:09 UTC,2015-07-14 20:38:27 UTC,Aug,M,34
2015-07-15 00:59:15 UTC,2015-08-06 02:02:38 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-15 00:55:15 UTC,2015-07-15 00:59:15 UTC,Aug,F,35
2015-07-15 00:59:15 UTC,2015-08-06 02:25:12 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-15 00:55:15 UTC,2015-07-15 00:59:15 UTC,Aug,M,36
2015-07-15 19:25:39 UTC,2015-08-06 01:46:48 UTC,Attendee (Regular),Counsyl,WaffleJS (August),10.00,,2015-07-15 19:25:18 UTC,2015-07-15 19:25:39 UTC,Aug,F,37
2015-07-15 19:25:39 UTC,2015-08-06 02:11:14 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-15 19:25:18 UTC,2015-07-15 19:25:39 UTC,Aug,,28
2015-07-15 19:25:39 UTC,2015-08-06 02:11:16 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-15 19:25:18 UTC,2015-07-15 19:25:39 UTC,Aug,,28
2015-07-15 20:41:40 UTC,2015-07-15 20:41:40 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-15 20:41:11 UTC,2015-07-15 20:41:40 UTC,Aug,M,38
2015-07-17 23:52:52 UTC,2015-08-06 01:18:14 UTC,Attendee (Regular),Canary,WaffleJS (August),10.00,,2015-07-17 23:51:49 UTC,2015-07-17 23:52:52 UTC,Aug,M,41
2015-07-17 23:52:52 UTC,2015-08-06 01:48:43 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-17 23:51:49 UTC,2015-07-17 23:52:52 UTC,Aug,M,40
2015-07-17 23:52:52 UTC,2015-08-06 01:48:59 UTC,Attendee (Regular),Atlassian,WaffleJS (August),10.00,,2015-07-17 23:51:49 UTC,2015-07-17 23:52:52 UTC,Aug,M,39
2015-07-18 06:43:39 UTC,2015-08-06 02:14:57 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-18 06:42:07 UTC,2015-07-18 06:43:39 UTC,Aug,M,42
2015-07-18 15:31:06 UTC,2015-07-18 15:31:06 UTC,Attendee (Regular),,WaffleJS (August),0.00,future,2015-07-18 15:31:05 UTC,2015-07-18 15:31:06 UTC,Aug,,43
2015-07-18 15:35:28 UTC,2015-08-06 01:27:30 UTC,Attendee (Regular),Famous,WaffleJS (August),0.00,future,2015-07-18 15:35:27 UTC,2015-07-18 15:35:28 UTC,Aug,M,44
2015-07-18 18:07:06 UTC,2015-07-18 18:19:27 UTC,Attendee (Regular),,WaffleJS (August),0.00,future,2015-07-18 18:07:06 UTC,2015-07-18 18:07:06 UTC,Aug,F,45
2015-07-18 18:14:36 UTC,2015-07-18 18:14:36 UTC,Attendee (Regular),,WaffleJS (August),0.00,future,2015-07-18 18:14:36 UTC,2015-07-18 18:14:36 UTC,Aug,M,28
2015-07-18 21:06:10 UTC,2015-08-06 01:59:47 UTC,Attendee (Regular),,WaffleJS (August),0.00,future,2015-07-18 21:06:09 UTC,2015-07-18 21:06:10 UTC,Aug,F,46
2015-07-19 06:24:28 UTC,2015-08-06 02:24:32 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-19 06:23:25 UTC,2015-07-19 06:24:28 UTC,Aug,,47
2015-07-20 00:57:42 UTC,2015-08-06 02:00:52 UTC,Attendee (Regular),,WaffleJS (August),10.00,,2015-07-20 00:56:59 UTC,2015-07-20 00:57:42 UTC,Aug,M,48
2015-07-20 17:49:48 UTC,2015-07-20 17:49:48 UTC,Attendee (Regular),,WaffleJS (August),0.00,opendoor,2015-07-20 17:49:47 UTC,2015-07-20 17:49:48 UTC,Aug,M,49
2015-07-20 23:22:43 UTC,2015-08-06 02:13:46 UTC,Sponsor,Particle.IO,WaffleJS (August),0.00,,2015-07-20 23:22:42 UTC,2015-07-20 23:22:43 UTC,Aug,M,50
